
Date,Resource_ID,Service,Region,Business_Unit,Environment,CPU_Utilization,Storage_GB,Monthly_Cost,Owner,Resource_Status
2026-07-01,res-001,EBS,eu-west-1,Product,Production,72,331,24204,Owner_4,Running
2026-07-01,res-002,S3,eu-west-1,Product,Testing,53,956,20001,Owner_7,Stopped
2026-07-01,res-003,EC2,us-east-1,Data,Production,23,618,17185,Owner_1,Stopped
2026-07-01,res-004,S3,eu-west-1,Finance,Production,70,571,5332,Owner_3,Running
2026-07-01,res-005,EBS,eu-west-1,HR,Development,96,167,7105,Owner_2,Running
2026-07-01,res-006,CloudFront,ap-south-1,Marketing,Production,51,582,20989,Owner_8,Running
2026-07-01,res-007,S3,us-east-1,Data,Development,5,229,20485,Owner_1,Running
2026-07-01,res-008,EC2,eu-west-1,HR,Development,28,492,18921,Owner_6,Stopped
2026-07-01,res-009,S3,eu-west-1,Marketing,Testing,53,769,14390,Owner_10,Stopped
2026-07-01,res-010,EC2,ap-south-1,Marketing,Testing,6,496,15855,Owner_5,Running
2026-07-01,res-011,S3,us-east-1,Product,Development,25,343,10218,Owner_1,Running
2026-07-01,res-012,RDS,eu-west-1,Product,Development,80,899,25821,Owner_5,Stopped
2026-07-01,res-013,RDS,ap-south-1,Finance,Development,89,258,25117,Owner_8,Stopped
2026-07-01,res-014,RDS,ap-south-1,HR,Development,22,382,14753,Owner_8,Running
2026-07-01,res-015,CloudFront,ap-south-1,Product,Development,80,331,23905,Owner_4,Stopped
2026-07-01,res-016,S3,us-east-1,Marketing,Development,66,378,4703,Owner_3,Stopped
2026-07-01,res-017,CloudFront,us-east-1,HR,Production,61,992,724,Owner_6,Running
2026-07-01,res-018,RDS,ap-south-1,HR,Production,84,606,9555,Owner_3,Running
2026-07-01,res-019,EC2,ap-south-1,Marketing,Testing,60,484,22583,Owner_3,Running
2026-07-01,res-020,S3,eu-west-1,HR,Production,2,955,25239,Owner_4,Stopped
2026-07-01,res-021,S3,eu-west-1,Marketing,Production,83,81,6556,Owner_6,Running
2026-07-01,res-022,EC2,eu-west-1,Finance,Testing,71,731,2468,Owner_4,Stopped
2026-07-01,res-023,EC2,us-east-1,Marketing,Testing,95,72,9699,Owner_6,Running
2026-07-01,res-024,S3,us-east-1,HR,Production,86,421,17841,Owner_1,Stopped
2026-07-01,res-025,RDS,ap-south-1,HR,Testing,50,637,15967,Owner_9,Stopped
2026-07-01,res-026,EC2,eu-west-1,Engineering,Production,9,382,18454,Owner_3,Running
2026-07-01,res-027,Lambda,ap-south-1,HR,Development,68,343,5803,Owner_6,Stopped
2026-07-01,res-028,S3,eu-west-1,Data,Development,24,185,8992,Owner_4,Stopped
2026-07-01,res-029,Lambda,eu-west-1,Product,Development,80,685,14092,Owner_1,Running
2026-07-01,res-030,Lambda,eu-west-1,HR,Testing,65,245,25319,Owner_3,Running
2026-07-01,res-031,EBS,eu-west-1,Product,Testing,58,222,8096,Owner_9,Running
2026-07-01,res-032,S3,ap-south-1,Finance,Testing,45,396,23482,Owner_1,Stopped
2026-07-01,res-033,EC2,ap-south-1,Data,Production,9,920,4275,Owner_2,Running
2026-07-01,res-034,EC2,ap-south-1,Marketing,Production,53,624,6739,Owner_6,Running
2026-07-01,res-035,EC2,eu-west-1,Marketing,Development,73,854,1563,Owner_2,Stopped
2026-07-01,res-036,CloudFront,ap-south-1,Engineering,Production,31,147,4203,Owner_8,Stopped
2026-07-01,res-037,Lambda,ap-south-1,Finance,Production,48,141,19031,Owner_8,Running
2026-07-01,res-038,RDS,eu-west-1,Engineering,Development,64,118,22198,Owner_4,Stopped
2026-07-01,res-039,EBS,us-east-1,HR,Testing,97,534,8467,Owner_6,Running
2026-07-01,res-040,EC2,us-east-1,Marketing,Testing,83,750,7624,Owner_2,Stopped
2026-07-01,res-041,S3,eu-west-1,Marketing,Production,92,906,14424,Owner_10,Stopped
2026-07-01,res-042,Lambda,us-east-1,Finance,Production,85,438,27538,Owner_2,Stopped
2026-07-01,res-043,CloudFront,eu-west-1,Finance,Testing,38,759,19239,Owner_7,Stopped
2026-07-01,res-044,Lambda,eu-west-1,Marketing,Production,37,376,4080,Owner_10,Running
2026-07-01,res-045,CloudFront,ap-south-1,Finance,Development,99,58,26076,Owner_1,Stopped
2026-07-01,res-046,CloudFront,ap-south-1,Finance,Testing,70,420,19011,Owner_5,Stopped
2026-07-01,res-047,EC2,eu-west-1,Finance,Development,69,662,20414,Owner_6,Stopped
2026-07-01,res-048,EC2,us-east-1,Product,Production,93,276,17074,Owner_6,Stopped
2026-07-01,res-049,EC2,eu-west-1,Marketing,Development,4,95,23594,Owner_4,Running
2026-07-01,res-050,EC2,ap-south-1,Product,Development,17,809,29577,Owner_8,Running
2026-07-01,res-051,EBS,ap-south-1,Data,Production,83,463,3646,Owner_1,Stopped
2026-07-01,res-052,Lambda,us-east-1,Finance,Development,79,72,29464,Owner_6,Running
2026-07-01,res-053,EC2,eu-west-1,Finance,Development,88,377,28905,Owner_9,Stopped
2026-07-01,res-054,CloudFront,eu-west-1,Finance,Development,16,348,24685,Owner_4,Stopped
2026-07-01,res-055,EC2,ap-south-1,Data,Production,27,771,29168,Owner_6,Stopped
2026-07-01,res-056,CloudFront,ap-south-1,Engineering,Development,6,903,28284,Owner_6,Stopped
2026-07-01,res-057,RDS,us-east-1,Finance,Production,43,332,25035,Owner_3,Stopped
2026-07-01,res-058,EC2,eu-west-1,Engineering,Testing,23,757,20680,Owner_10,Running
2026-07-01,res-059,S3,eu-west-1,HR,Testing,73,877,20401,Owner_2,Running
2026-07-01,res-060,CloudFront,ap-south-1,HR,Development,18,106,11614,Owner_1,Stopped
2026-07-01,res-061,EBS,ap-south-1,HR,Testing,19,683,20885,Owner_10,Stopped
2026-07-01,res-062,Lambda,us-east-1,Marketing,Development,49,634,6458,Owner_3,Stopped
2026-07-01,res-063,Lambda,eu-west-1,Data,Testing,66,438,8764,Owner_10,Running
2026-07-01,res-064,RDS,eu-west-1,HR,Production,74,486,10144,Owner_7,Running
2026-07-01,res-065,CloudFront,ap-south-1,Engineering,Testing,53,325,1851,Owner_10,Running
2026-07-01,res-066,Lambda,eu-west-1,Marketing,Testing,48,918,15248,Owner_9,Stopped
2026-07-01,res-067,Lambda,eu-west-1,Product,Testing,3,587,12595,Owner_4,Running
2026-07-01,res-068,CloudFront,ap-south-1,Marketing,Production,9,859,16676,Owner_9,Running
2026-07-01,res-069,EC2,eu-west-1,Engineering,Development,54,28,8303,Owner_3,Stopped
2026-07-01,res-070,Lambda,us-east-1,Engineering,Development,12,379,7218,Owner_9,Running
2026-07-01,res-071,RDS,ap-south-1,Product,Development,30,487,17191,Owner_2,Stopped
2026-07-01,res-072,RDS,us-east-1,Finance,Testing,72,305,25940,Owner_1,Stopped
2026-07-01,res-073,EBS,us-east-1,Data,Production,27,943,16770,Owner_5,Stopped
2026-07-01,res-074,S3,us-east-1,Engineering,Testing,58,836,22907,Owner_6,Running
2026-07-01,res-075,EC2,eu-west-1,Finance,Production,50,828,18850,Owner_1,Stopped
2026-07-01,res-076,Lambda,ap-south-1,Engineering,Testing,3,28,21384,Owner_10,Stopped
2026-07-01,res-077,RDS,ap-south-1,Finance,Development,88,481,10203,Owner_9,Running
2026-07-01,res-078,S3,us-east-1,Finance,Development,62,118,5529,Owner_7,Stopped
2026-07-01,res-079,EBS,eu-west-1,Marketing,Production,32,656,4132,Owner_5,Running
2026-07-01,res-080,CloudFront,eu-west-1,Engineering,Development,68,284,10063,Owner_6,Stopped
2026-07-01,res-081,EBS,eu-west-1,Data,Testing,39,577,16524,Owner_1,Running
2026-07-01,res-082,Lambda,us-east-1,Marketing,Testing,3,823,9580,Owner_3,Running
2026-07-01,res-083,EBS,us-east-1,HR,Testing,48,913,17649,Owner_8,Running
2026-07-01,res-084,RDS,us-east-1,Data,Development,50,942,23175,Owner_6,Running
2026-07-01,res-085,Lambda,us-east-1,HR,Production,16,106,1113,Owner_6,Running
2026-07-01,res-086,EBS,ap-south-1,Data,Testing,1,261,27151,Owner_1,Running
2026-07-01,res-087,EC2,ap-south-1,HR,Production,84,414,17512,Owner_8,Stopped
2026-07-01,res-088,RDS,ap-south-1,Data,Development,32,680,15198,Owner_10,Running
2026-07-01,res-089,S3,us-east-1,Engineering,Development,88,704,29884,Owner_8,Running
2026-07-01,res-090,Lambda,eu-west-1,Engineering,Testing,20,843,541,Owner_10,Running
2026-07-01,res-091,EBS,us-east-1,Marketing,Testing,23,459,25517,Owner_7,Stopped
2026-07-01,res-092,CloudFront,eu-west-1,Data,Development,21,861,22092,Owner_7,Running
2026-07-01,res-093,CloudFront,ap-south-1,Finance,Development,50,772,9308,Owner_1,Stopped
2026-07-01,res-094,EC2,ap-south-1,HR,Production,24,674,24471,Owner_2,Stopped
2026-07-01,res-095,EBS,eu-west-1,Finance,Development,70,682,6431,Owner_4,Running
2026-07-01,res-096,S3,ap-south-1,Finance,Development,93,672,27547,Owner_1,Running
